TOA5,CR1000,CR1000,86673,CR1000.Std.31.03,CPU:Chieppa_8sensors variable voltage.CR1,13783,Quantum,,,,
TIMESTAMP,RECORD,BattV_Min,PanelT,PPF(1),PPF(2),PPF(3),PPF(4),PPF(5),PPF(6),PPF(7),PPF(8)
TS,RN,,,,,,,,,,
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
6/8/2024 2:20,84289,13.60351,21.94614,0,0,0,0,0,0,0,0
6/8/2024 2:25,84290,13.6038,21.88965,0,0,0,0,0,0,0,0
6/8/2024 2:30,84291,13.60397,21.78121,0,0,0,0,0,0,0,0
6/8/2024 2:35,84292,13.60449,21.69762,0,0,0,0,0,0,0,0
6/8/2024 2:40,84293,13.60443,21.58692,0,0,0,0,0,0,0,0
6/8/2024 2:45,84294,13.60495,21.50558,0,0,0,0,0,0,0,0
6/8/2024 2:50,84295,13.60428,21.45136,0,0,0,0,0,0,0,0
6/8/2024 2:55,84296,13.60542,21.50558,0,0,0,0,0,0,0,0
6/8/2024 3:00,84297,13.60534,21.61628,0,0,0,0,0,0,0,0
6/8/2024 3:05,84298,13.60441,21.72473,0,0,0,0,0,0,0,0
6/8/2024 3:10,84299,13.6043,21.86255,0,0,0,0,0,0,0,0
6/8/2024 3:15,84300,13.6098,21.97325,0,0,0,0,0,0,0,0
6/8/2024 3:20,84301,13.60324,22.05684,0,0,0,0,0,0,0,0
6/8/2024 3:25,84302,13.60348,22.05684,0,0,0,0,0,0,0,0
6/8/2024 3:30,84303,13.60418,21.97325,0,0,0,0,0,0,0,0
6/8/2024 3:35,84304,13.60349,21.86255,0,0,0,0,0,0,0,0
6/8/2024 3:40,84305,13.60413,21.72473,0,0,0,0,0,0,0,0
6/8/2024 3:45,84306,13.60323,21.58692,0,0,0,0,0,0,0,0
6/8/2024 3:50,84307,13.60415,21.50558,0,0,0,0,0,0,0,0
6/8/2024 3:55,84308,13.61093,21.45136,0,0,0,0,0,0,0,0
6/8/2024 4:00,84309,13.60513,21.50558,0,0,0,0,0,0,0,0
6/8/2024 4:05,84310,13.60543,21.61628,0,0,0,0,0,0,0,0
6/8/2024 4:10,84311,13.60588,21.72473,0,0,0,0,0,0,0,0
